WKN;ARIVA_NAME;JAHR;JAHRES_UEBERSCHUSS;KGV
901876;batm_advanced_communications-aktie;2016;-1 ILA;-
901876;batm_advanced_communications-aktie;2017;0 ILA;-
901876;batm_advanced_communications-aktie;2018;0 ILA;-
901876;batm_advanced_communications-aktie;2019;4 ILA;-
901876;batm_advanced_communications-aktie;2020;10 ILA;-
901876;batm_advanced_communications-aktie;2021;14 ILA;-
901876;batm_advanced_communications-aktie;2022;-;-
606110;hms_bergbau-aktie;2016;0 €;139,83
606110;hms_bergbau-aktie;2017;1 €;87,44
606110;hms_bergbau-aktie;2018;1 €;54,55
606110;hms_bergbau-aktie;2019;1 €;136,43
606110;hms_bergbau-aktie;2020;3 €;33,13
606110;hms_bergbau-aktie;2021;3 €;29,44
606110;hms_bergbau-aktie;2022;-;-
A0DK5W;zwack_unicum-aktie;2016;1.694 HUF;21
A0DK5W;zwack_unicum-aktie;2017;2.226 HUF;15,30
A0DK5W;zwack_unicum-aktie;2018;2.204 HUF;15,60
A0DK5W;zwack_unicum-aktie;2019;2.623 HUF;13,20
A0DK5W;zwack_unicum-aktie;2020;1.696 HUF;19,40
A0DK5W;zwack_unicum-aktie;2021;1.436 HUF;23
A0DK5W;zwack_unicum-aktie;2022;-;-
549293;masterflex-aktie;2016;3 €;4,32
549293;masterflex-aktie;2017;4 €;3,89
549293;masterflex-aktie;2018;3 €;3,98
549293;masterflex-aktie;2019;3 €;3,35
549293;masterflex-aktie;2020;1 €;47,08
549293;masterflex-aktie;2021;3 €;80,75
549293;masterflex-aktie;2022;-;-
A0M530;audius_se-aktie;2016;0 €;-
A0M530;audius_se-aktie;2017;-1 €;-
A0M530;audius_se-aktie;2018;1 €;15,60
A0M530;audius_se-aktie;2019;1 €;16,70
A0M530;audius_se-aktie;2020;2 €;25,50
A0M530;audius_se-aktie;2021;3 €;25,10
A0M530;audius_se-aktie;2022;-;-
855288;renold_plc_ls_05-aktie;2016;5 GBX;-
855288;renold_plc_ls_05-aktie;2017;-2 GBX;-
855288;renold_plc_ls_05-aktie;2018;8 GBX;-
855288;renold_plc_ls_05-aktie;2019;2 GBX;-
855288;renold_plc_ls_05-aktie;2020;4 GBX;-
855288;renold_plc_ls_05-aktie;2021;10 GBX;4,68
855288;renold_plc_ls_05-aktie;2022;-;-
A2G9M1;capsensixx-aktie;2016;2 €;-
A2G9M1;capsensixx-aktie;2017;3 €;-
A2G9M1;capsensixx-aktie;2018;1 €;30,51
A2G9M1;capsensixx-aktie;2019;2 €;11,14
A2G9M1;capsensixx-aktie;2020;2 €;18,94
A2G9M1;capsensixx-aktie;2021;3 €;218,57
A2G9M1;capsensixx-aktie;2022;-;-
510480;syzygy-aktie;2016;5 €;29,01
510480;syzygy-aktie;2017;5 €;28
510480;syzygy-aktie;2018;5 €;21,11
