WKN;ARIVA_NAME;UNTERNEHMENSPROFIL
901876;batm_advanced_communications-aktie;BATM Advanced Communications Ltd. bietet zusammen mit seinen Tochtergesellschaften Echtzeittechnologien für Netzwerklösungen und biomedizinische Systeme in Israel, den Vereinigten Staaten und Europa an. Das Unternehmen ist in den Abteilungen Networking and Cyber und Bio-Medical tätig. Der Geschäftsbereich Networking and Cyber befasst sich mit der Forschung und Entwicklung, Produktion und Vermarktung von Datenkommunikationsprodukten, einschließlich Network Function Virtualization, Carrier-Ethernet- und MPLS-Zugangslösungen sowie Cyber-Netzwerküberwachung. Darüber hinaus bietet sie Software-Dienstleistungen wie Schulungen und technischen Support, Laborservice und -wartung sowie Bauverträge an. Die Sparte Bio-Medical befasst sich mit der Forschung und Entwicklung, der Produktion, dem Marketing und dem Vertrieb von medizinischen Produkten wie Labordiagnostik und Sterilisationsgeräten. Diese Sparte bietet molekularbiologische Diagnostik an, liefert Lösungen für die Behandlung von pathogenen und medizinischen Abfällen in Labors und Krankenhäusern sowie für pharmazeutische Produktionsanlagen und landwirtschaftliche Anwendungen und vertreibt diagnostische Geräte und medizinischen Bedarf verschiedener Marken. BATM Advanced Communications Ltd. arbeitet mit Novamed Ltd. an der gemeinsamen Entwicklung und Vermarktung eines Testkits für COVID-19 für den Hausgebrauch. Das Unternehmen wurde 1992 gegründet und hat seinen Hauptsitz in Hod Hasharon, Israel.
606110;hms_bergbau-aktie;Die HMS Bergbau AG ist zusammen mit ihren Tochtergesellschaften im Handel und Vertrieb von Kohle und anderen Energierohstoffen an Stromerzeuger, Zementhersteller und industrielle Verbraucher weltweit tätig. Das Unternehmen bietet Energierohstoffe wie Kesselkohle, Kokskohle, Anthrazit, PCI-Kohle, Thermalkohle, Petrolkoks und ausgewählte Öl- und Gasprodukte, Metalle und Mineralien wie Eisenerze, Manganerze, Kupfer, Niob, Tantal, Beryllium und Lithium sowie erneuerbare und ergänzende Produkte wie Holzpellets, Biomasse, Wasserstoff, Beryllium, Manganerz, Chromerz, Klinker, Phosphate, Zementprodukte und Düngemittel an. Darüber hinaus bietet das Unternehmen Hafenmanagement, Befrachtung, operative Abwicklung, technische Überwachung, Lagermanagement, Aufbereitung, Qualitätsbeurteilung und Verladung sowie Inlandstransporte per Binnenschiff, Lkw und Bahn sowie Just-in-time-Lieferungen an. Das Unternehmen beliefert Kraftwerksunternehmen, Stahl- und Zementproduzenten sowie Industrieunternehmen wie Glashütten, Papierfabriken und Abfallverwertungsanlagen. Die HMS Bergbau AG wurde 1995 gegründet und hat ihren Hauptsitz in Berlin, Deutschland.
A0DK5W;zwack_unicum-aktie;Zwack Unicum, Plc. ist ein ungarisches Traditionsunternehmen, das sich auf die Herstellung verschiedener hochprozentiger alkoholischer Getränke spezialisiert hat. Eines der bekanntesten Produkte des Konzerns ist der Magenbitter Unicum, dessen Rezeptur bereits 1790 entwickelt wurde. Daneben produziert Zwack heute auch andere Sorten von Bränden, Schnäpsen sowie Likören und vertreibt diese unter den Marken Vilmos, St. Hubertus, Fütyülös, Zwack Pálomkák und Kalinka Vodka. Außerdem werden auch Marken anderer Kooperationspartner über den firmeneigenen Onlineshop verkauft und ausgeliefert. Die Produkte des Konzerns werden außerdem in eigenen Geschäften verkauft oder sind in größeren Kaufhäusern sowie Fachgeschäften erhältlich. Zu den Kunden des Unternehmens gehören neben Privat- auch Geschäftskunden wie Betreiber von Hotels, Restaurants, Bars und Cafés. Copyright 2021 facunda financial data GmbH
549293;masterflex-aktie;Die Masterflex SE entwickelt, produziert und vertreibt zusammen mit ihren Tochtergesellschaften Hightech-Schläuche und Verbindungssysteme für verschiedene Anwendungen in Industrie und Handwerk im In- und Ausland. Das Unternehmen bietet unter der Marke Masterflex Spiral-, Clip-, Folien-, Einschicht-, Mehrschicht-, coextrudierte und mikroextrudierte Schläuche sowie Verbindungselemente, Schellen, Verteiler, Tropfkammern und Trennmembranen für die Bereiche Medizintechnik, Life Sciences, Erneuerbare Energien, Luftfahrt, Automotive und E-Mobility sowie unter der Marke Matzen & Spezialschläuche, Faltenbälge und Formteile für die Luft- und Raumfahrt, die Automobilindustrie und den Schienenverkehr. Timm. Hinzu kommen die Extrusion von Rohren und Profilen unter der Marke Novoplast Schlauchtechnik, Spritzgussteile und montierte Kunststoffkomponenten für die Medizintechnik, Kosmetik und Lebensmitteltechnik unter der Marke Fleima-Plastic sowie Schläuche für die Heizungs-, Lüftungs- und Klimatechnik unter der Marke Masterduct. Die Masterflex SE wurde 1987 gegründet und hat ihren Sitz in Gelsenkirchen, Deutschland.
A0M530;audius_se-aktie;Die im Jahr 1991 gegründete audius SE (ehemals: IT Competence Group SE) ist eine IT-Gesellschaft, die in der DACH-Region aktiv ist. Von der Netzwerktechnik bis hin zur konkreten Anwendung bietet die Unternehmensgruppe die passenden Lösungen für öffentliche Auftraggeber, Mittelständler und international agierende Konzerne. Bei der Betreuung von 350.000 IT-Arbeitsplätzen im DACH-Bereich sind die etwa 500 Mitarbeiter an 16 Standorten – davon 13 in Deutschland – fokussiert auf den Einsatz zukunftsorientierter Technologien und Best Practices. Ein weiterer Geschäftsbereich beschäftigt sich mit Netzinfrastrukturen, insbesondere dem Auf- und Ausbau des 5G-Netzes. Zu den Kunden der Gruppe zählen global agierende Konzerne sowie mittelständische Betriebe. Strategisches Ziel ist es sowohl organisch als auch durch Zukäufe zu wachsen. Die Aktien der audius SE notieren im Basic Board der Börse Frankfurt sowie im Mittelstandssegment m:access der Börse München. Copyright 2021 facunda financial data GmbH
855288;renold_plc_ls_05-aktie;Renold plc fertigt und vertreibt hochpräzise technische Antriebsprodukte im Vereinigten Königreich, im übrigen Europa, in den Vereinigten Staaten, in Australasien, China, Indien und international. Das Unternehmen ist in zwei Segmenten tätig: Ketten und Drehmomentübertragung. Das Unternehmen bietet Standard-, geschweißte Stahl- und Ziehbank-Förderketten sowie Förder- und Dreizackketten für Vergnügungsparks, Becherwerks-, Rolltreppen-, Schwerlastschlepp- und Abwasserbehandlungsketten sowie Standardanbauteile und Siebketten an. Das Unternehmen bietet außerdem flexible Kupplungen, Klauen-, Standard-, Bolzen- und Buchsenkupplungen, Kupplungen für Schiffsantriebe, Generatorsätze und Ajax-Kupplungen, Freilaufkupplungen für Überhol-, Schalt- und Rücklaufanwendungen sowie Schneckengetriebe, Kegelrad- und Stirnradgetriebe, Antriebslösungen für Rolltreppen, kundenspezifische Getriebelösungen, die Aufarbeitung von Fuhrwerken und Ölüberwachungssysteme. Darüber hinaus bietet das Unternehmen Flyerketten für Materialtransportanwendungen, Verarbeitungsgeräte und Vibrationsantriebe wie Rüttler, QE-Vibratoren, elektrische Rotationsvibratoren, Vibrationsabfüllstationen, Vibrationsförderer, Vibrationszuführungen und Schüttgutentlader sowie Kettenzubehör wie Kettenräder, Kettenverschleißführungen, Kettenbolzenabzieher und Kettenspanner. Darüber hinaus bietet das Unternehmen Übertragungsketten an, darunter allgemeine Übertragungsketten, wartungsarme, abriebfeste, korrosionsbeständige Ketten, Ketten mit Standardbefestigung und Polymerblockketten. Das Unternehmen beliefert über Erstausrüster und Händler Kunden in den Bereichen Transport, Bergbau und Steinbrüche, Materialtransport, Industrieprodukte, Umwelt, Lebensmittel und Getränke, Energie, Baumaschinen sowie Land-, Forst- und Fischereiwirtschaft. Das Unternehmen wurde 1864 gegründet und hat seinen Hauptsitz in Manchester, Vereinigtes Königreich.
A2G9M1;capsensixx-aktie;Die capsensixx AG ist im Bereich der Finanzverwaltung als Dienstleistung tätig. Sie bietet Fondsmanagement-, Verwaltungs- und Buchhaltungsdienstleistungen, Unternehmens- und Kapitalmarktdienstleistungen, die Beratungsdienstleistungen in den Bereichen Finanz-Engineering und Verbriefung umfassen, sowie Direktor- und Managementdienstleistungen für Firmenkunden. Das Unternehmen wurde 2017 gegründet und hat seinen Sitz in Frankfurt am Main, Deutschland.
510480;syzygy-aktie;Die SYZYGY AG erbringt über ihre Tochtergesellschaften Media-Content-Dienstleistungen für digitales Marketing in Deutschland, Großbritannien und international. Das Unternehmen bietet ein integriertes Lösungsportfolio, das strategische Beratung, Projektplanung, Konzeption, Design und technische Umsetzung von Markenplattformen, Business-Applikationen, Websites, Hosting, Online-Kampagnen und Mobile Apps umfasst. Hinzu kommen Marketingdienstleistungen wie Datenanalyse, Suchmaschinenmarketing/-optimierung oder Affiliate-Programme sowie Banner und Video-Ads. Digitale Illustrationen, Virtual Reality, Augmented Reality und Animationen runden das Angebot ab. Das Unternehmen bedient die Branchen Automobil, Telekommunikation/IT, Konsumgüter und Finanz-/Versicherungsdienstleistungen. Das Unternehmen wurde 1995 gegründet und hat seinen Sitz in Bad Homburg vor der Höhe, Deutschland. Die SYZYGY AG ist eine Tochtergesellschaft der WPP plc.
633600;lewag_holding-aktie;Die LEWAG Holding AG ist eine in der glasverarbeitenden Industrie tätige Dachgesellschaft mehrerer mittelständischer Unternehmen für Maschinen und Anlagen. Die Gesellschaft besteht ausschließlich aus dem Geschäftsfeld Maschinenbau für die Glas- und Fensterindustrie. Zum Konzern gehört die hundertprozentige Beteiligung an der HEGLA GmbH & Co. KG, die zu den international führenden Produzenten von Maschinen und Systemanlagen, Lager- und Logistiksystemen und Fahrzeugaufbauten für die Flachglas herstellende und verarbeitende Industrie zählt. Zur HEGLA-Gruppe gehören fünf inländische Unternehmen, drei Vertriebs- und Servicegesellschaften in Frankreich, Großbritannien und USA sowie ein Vertriebsbüro in Russland. Des Weiteren hält LEWAG Holding eine minderheitliche Beteiligung an der INTERPANE Glas Industrie AG, die als Glasveredelungs- und Glasverarbeitungsunternehmen in Europa tätig ist. Interpane hält eigene Produktionsniederlassungen zur Herstellung von Floatglas über dessen Veredelung mit modernen Wärmeschutz- oder Sonnenschutzschichten bis zur Produktion von hochwertigem Isolier- und Sicherheitsglast. Copyright 2021 facunda financial data GmbH
A2E4MK;noratis-aktie;Die Noratis AG investiert in Wohnimmobilienportfolios in Deutschland, entwickelt, verwaltet und vertreibt diese. Der Schwerpunkt des Unternehmens liegt auf einem Portfolio von Wohnungen, Wohnanlagen und Wohnsiedlungen. Die Noratis AG wurde im Jahr 2002 gegründet und hat ihren Sitz in Eschborn, Deutschland.
